Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
199833,913514576,13,-1,38.8789,-21.749,-23.4997,-22.0523,-0.643395,-2.31752,-13,1,31.0311,-15.597,-18.3755,-19.5446,-0.741158,-2.27459,-13,1,13.2788,5.38251,1.74715,-12.0121,-1.49719,0.313868,13,-1,16.3694,5.58886,-0.216711,-15.3838,-1.73646,-0.0387562
199833,933684749,-13,1,81.5389,41.6583,-70.0598,-2.18963,-0.0268603,-1.03435,13,-1,11.9822,-7.8189,-2.21646,8.80425,0.93909,-2.86536,-11,1,85.905,18.3463,61.584,-57.0131,-0.799355,1.28126,11,-1,35.8887,-34.8968,-5.8041,6.04381,0.170024,-2.97678
199833,991082101,13,-1,72.1645,-58.69,-15.6984,-38.9455,-0.603701,-2.88023,-13,1,48.0588,28.3533,36.3603,13.5519,0.289839,0.908502,13,-1,54.2685,14.6787,-31.642,-41.5737,-1.01076,-1.13644,-13,1,28.3904,16.8818,14.2812,17.8061,0.736771,0.702139
199834,132259775,-11,1,52.6957,10.0498,51.7167,-1.10946,-0.0210572,1.37886,11,-1,43.4661,-0.333738,-41.4289,13.1466,0.312222,-1.57885,-11,1,10.5514,-2.25066,3.29013,-9.76944,-1.62879,2.17075,11,-1,3.87124,3.56319,-0.499985,1.42837,0.38723,-0.13941
199834,239533845,-13,1,8.10492,1.36639,6.39111,-4.7922,-0.679694,1.36017,13,-1,23.6361,-6.41329,-0.71057,22.7381,1.97226,-3.03125,13,-1,5.92902,5.44433,-2.32035,-0.342542,-0.0578474,-0.402883,-13,1,11.0678,-2.71436,-0.432159,10.7205,2.07028,-2.98371
199834,243052045,-13,1,13.2392,-12.262,4.89773,0.958846,0.0725542,2.76158,-13,1,19.3672,5.11207,2.92215,18.4501,1.85979,0.519289,13,-1,17.1357,5.16681,2.64362,16.1226,1.74577,0.472927,13,-1,13.4595,1.04361,2.38024,13.2057,2.32823,1.15759
199834,281847503,-13,1,47.8685,35.7676,25.0197,19.6487,0.436181,0.610395,13,-1,62.522,-34.4564,-18.2594,48.8706,1.04961,-2.65429,11,-1,7.72717,-5.4151,-5.47406,-0.648389,-0.0841081,-2.35078,-11,1,4.77713,-4.2573,1.84403,-1.13838,-0.24297,2.73284
199834,335086589,13,-1,16.3223,15.5281,-1.44564,4.81583,0.304092,-0.0928303,-13,1,14.1473,-13.7681,1.03087,-3.08441,-0.221584,3.06686,-13,1,6.88688,-2.19513,-0.460145,6.51057,1.78726,-2.93496,-13,1,5.65491,-0.556514,-1.12048,-5.51377,-2.18902,-2.03178
199834,368171363,13,-1,98.1352,59.3901,-4.74197,77.9797,1.08383,-0.0796755,-13,1,93.6021,-41.5202,-10.2819,83.2568,1.41941,-2.89884,11,-1,49.002,-18.0088,15.194,42.9653,1.36179,2.44077,-11,1,4.71981,3.21773,-1.35167,3.17738,0.816576,-0.397688
199834,368744842,13,-1,17.2962,-10.0128,12.3681,-6.77656,-0.413927,2.25134,-13,1,13.292,-0.987608,13.118,-1.89941,-0.143888,1.64594,-11,1,77.8685,13.4504,-18.2934,-74.4846,-1.90357,-0.936797,11,-1,3.55352,1.32839,2.38835,2.27127,0.756755,1.06321
